Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
grinders cute,9,9,210,23,0.00,https://munchmakers.com/blog/grind-in-style-the-ultimate-guide-to-pretty-and-customizable-weed-grinders/,3,0.09,0.00,0,10,"[28,23,18,66,3,44,18,23,54,54,23,23]",2025-11-12,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
ash tray custom,4,4,90,0,0.74,https://munchmakers.com/product-category/custom-ashtrays/,3,0.09,2.00,1,5380000,"[1,100,0,0,2,1,2,1,2,1,1,2]",2025-10-21,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
chromium crusher grinder,6,6,320,3,0.55,https://munchmakers.com/blog/your-ultimate-guide-to-chromium-crushers-for-epic-herb-grinding/,3,0.09,1.00,0.62,73,"[20,20,13,20,20,24,20,16,16,16,16,16]",2025-08-21,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
auto roller,3,3,320,24,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-joint-rollers-for-perfect-blunts-every-time/,3,0.09,0.00,0.19,225000000,"[66,81,100,54,66,54,43,81,66,81,66,54]",2025-10-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",commercial,People also ask
rolling gum,1,1,90,24,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,3,0.09,0.00,0.52,60800000,"[9,9,9,7,7,9,11,0,0,17,11,9]",2025-09-02,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches","informational, transactional",People also ask
coffee grinder for weed,5,5,140,6,0.62,https://munchmakers.com/blog/choosing-the-perfect-grinder-for-your-cannabis-experience/,3,0.09,1.00,0.2,5170000,"[52,52,80,80,80,42,52,66,52,80,66,100]",2025-10-24,"Image pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
best kief grinders,5,5,70,14,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,3,0.09,0.00,0,72300,"[6,6,6,6,21,43,28,34,43,28,34,21]",2025-08-16,"Image pack, Sitelinks, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
joint holder weed,1,1,90,7,0.00,https://www.munchmakers.com/discover-the-best-joint-holder-for-a-stylish-and-secure-smoke/,3,0.09,0.00,0,2460000,"[52,52,64,52,29,52,64,41,29,52,52,64]",2025-09-10,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums",commercial,People also ask
gift ideas for a smoker,1,1,40,2,0.52,https://munchmakers.com/blog/gifts-for-smokers-ultimate-guide-with-50-perfect-presents-for-every-type-of-smoker/,3,0.09,1.00,0.63,5880000,"[9,9,23,19,33,52,9,9,9,9,9,9]",2025-09-09,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",commercial,AI overview
custom rolling tray set,8,8,170,0,0.00,https://munchmakers.com/product-category/custom-rolling-trays/,3,0.09,0.00,0,89,"[14,11,14,14,21,32,21,14,11,14,11,11]",2025-09-03,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
safest rolling papers,1,1,50,0,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,3,0.09,0.00,0,0,"[17,10,17,7,10,7,5,17,12,17,23,7]",2025-11-19,"Sitelinks, Popular products, Related searches, Discussions and forums, AI overview","commercial, informational",AI overview
best grinder for kief,5,5,170,7,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,3,0.09,0.00,0,407000,"[17,14,9,21,21,17,17,14,14,21,26,21]",2025-11-07,"Image pack, Sitelinks, Video, Image, People also ask, AI overview",commercial,Organic
kief collector,4,4,110,9,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,3,0.09,0.00,0,94,"[7,7,7,9,7,17,17,14,11,14,9,14]",2025-09-07,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
glass clear rolling papers,1,1,90,6,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,3,0.09,0.00,0,21000000,"[10,6,6,6,6,6,8,8,5,6,6,6]",2025-08-27,"Image pack, Sitelinks, Image, People also ask, Related searches",informational,People also ask
weed grinder personalized,5,5,70,1,4.51,https://munchmakers.com/,3,0.09,13.00,0.02,320000,"[1,1,0,32,2,2,11,26,11,0,2,2]",2025-09-06,"Image pack, Video, Image, Related searches",commercial,Organic
custom herb grinder,4,4,70,3,0.00,https://munchmakers.com/,3,0.09,0.00,0.01,10,"[36,45,63,45,45,81,45,36,45,100,100,63]",2025-11-09,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
how to clean an ashtray,5,5,110,2,0.00,https://www.munchmakers.com/mastering-care-tips-for-your-custom-ceramic-ashtray/,3,0.09,0.00,0,4240000,"[64,64,64,100,64,64,64,78,64,64,78,78]",2025-09-07,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
best grinders 2024,9,9,140,11,0.00,https://munchmakers.com/blog/ultimate-2024-guide-discover-the-best-weed-grinders-for-a-perfect-cannabis-experience/,3,0.09,0.00,0,30600000,"[53,81,65,65,100,81,28,21,9,6,6,6]",2025-08-19,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums",commercial,Organic
hash grinder,1,1,90,38,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,3,0.09,0.00,0,3760000,"[9,80,52,42,42,42,33,52,42,42,33,33]",2025-08-30,"Sitelinks, Video, People also ask, Popular products, Related searches",commercial,People also ask
four piece grinder,1,1,170,7,0.57,https://munchmakers.com/blog/the-ultimate-guide-to-choosing-between-3-part-and-4-piece-models/,3,0.09,1.00,0.94,48800000,"[53,65,65,53,53,53,65,53,34,53,65,43]",2025-08-21,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
personalized weed jar,4,4,90,0,0.69,https://www.munchmakers.com/product-category/custom-weed-stash-jars/,3,0.09,2.00,0.84,464000,"[64,64,41,52,41,52,41,41,52,41,52,64]",2025-08-25,"Image pack, Image, People also ask, Popular products, Related searches",commercial,Organic
custom smoking,2,2,30,23,0.79,https://www.munchmakers.com/product-category/no-minimums/,3,0.09,2.00,1,58000000,"[36,36,36,27,36,0,0,9,9,9,45,36]",2025-09-04,"Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
chromium crusher herb grinder,8,8,140,0,0.56,https://munchmakers.com/blog/your-ultimate-guide-to-chromium-crushers-for-epic-herb-grinding/,3,0.09,1.00,0.22,10,"[26,100,42,53,53,34,19,34,65,65,53,42]",2025-11-10,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
extra large grinder with kief catcher,6,6,110,5,0.00,https://munchmakers.com/product/custom-big-grinder,3,0.09,0.00,0,42,"[0,17,23,64,82,100,100,82,100,82,64,52]",2025-08-17,"Image pack, Sitelinks, Image, Related searches, Discussions and forums","informational, transactional",Organic
custom rolling tray with magnetic lid,4,4,70,0,0.00,https://munchmakers.com/product/custom-rolling-tray-with-magnetic-lid,3,0.09,0.00,0,66,"[34,19,19,19,26,19,42,15,19,15,42,15]",2025-08-21,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
clay ashtray with lid,1,1,210,24,0.00,https://munchmakers.com/blog/elevate-your-smoking-ritual-the-ultimate-guide-to-ceramic-cigar-ashtrays/,3,0.09,0.00,0,81,"[0,0,0,0,0,0,0,0,0,0,100,0]",2025-08-26,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
2 piece grinder,3,3,210,4,0.00,https://munchmakers.com/blog/4-piece-grinder-vs-2-piece-grinder-what-grinder-should-you-get-it/,3,0.09,0.00,0,43400000,"[65,53,65,81,65,65,65,43,43,53,43,100]",2025-08-23,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
big grinders,10,10,170,10,0.00,https://munchmakers.com/product/custom-big-grinder,3,0.09,0.00,0.07,21700000,"[12,12,15,15,12,66,9,6,100,9,15,19]",2025-09-06,"Image pack, Video, Image, Related searches",commercial,Organic
giant weed grinder,1,1,110,5,0.00,https://munchmakers.com/product/custom-big-grinder,3,0.09,0.00,0,1310000,"[42,34,42,26,26,80,53,42,34,42,42,34]",2025-08-20,"Image pack, Sitelinks, Image, Popular products, Related searches, Discussions and forums","commercial, informational",Image pack
glow in the dark grinder,2,2,40,0,0.00,https://munchmakers.com/product/custom-glow-in-the-dark-grinder,3,0.09,0.00,0.02,89,"[11,11,64,64,11,11,11,11,11,11,11,11]",2025-08-18,"Image pack, Video, Image, People also ask, Related searches",commercial,Organic
weed grinders nearby,3,3,210,45,0.00,https://munchmakers.com/blog/unlocking-the-benefits-of-a-quality-weed-grinder-3/,3,0.09,0.00,0,9310000,"[66,82,66,82,17,2,53,53,66,10,100,100]",2025-09-02,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches",transactional,People also ask
custom vape pens,4,4,50,34,0.00,https://munchmakers.com/product-category/custom-vape-pen/,3,0.09,0.00,0,1450000,"[21,28,28,35,28,35,28,35,35,64,35,78]",2025-09-11,"Image pack, Sitelinks, Related searches","commercial, informational",Organic
best metal grinder,1,1,110,13,0.39,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,3,0.09,1.00,1,29400000,"[21,21,53,43,28,100,100,21,21,21,21,21]",2025-09-06,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
how to crush weed without grinder,3,3,320,12,0.00,https://munchmakers.com/blog/master-the-art-of-grinding-weed-for-optimal-enjoyment-7adb65/,3,0.09,0.00,0,425000,"[20,20,10,24,16,6,8,8,100,8,55,8]",2025-10-11,"Sitelinks, People also ask, Discussions and forums",informational,People also ask
best herb grinder 2024,7,7,110,4,0.00,https://munchmakers.com/blog/ultimate-2024-guide-discover-the-best-weed-grinders-for-a-perfect-cannabis-experience/,3,0.09,0.00,0,3810000,"[43,100,81,65,65,53,21,12,9,6,6,6]",2025-08-27,"Image pack, Sitelinks, Image, Popular products, Related searches",commercial,Organic
best rolling papers for health,1,1,90,2,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,3,0.09,0.00,0,59900000,"[15,21,28,21,34,28,28,28,34,34,43,53]",2025-10-24,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,AI overview
best weed grinders 2024,6,6,90,12,0.00,https://munchmakers.com/blog/ultimate-2024-guide-discover-the-best-weed-grinders-for-a-perfect-cannabis-experience/,3,0.09,0.00,0,2670000,"[11,53,65,53,80,100,42,19,7,7,7,7]",2025-09-05,"Image pack, Sitelinks, Image, Popular products, Related searches",commercial,Organic
personalised grinder,5,5,90,4,0.00,https://munchmakers.com/,3,0.09,0.00,0,1980000,"[53,34,28,43,21,100,43,6,6,6,6,6]",2025-08-30,"Image pack, Video, Image, Related searches","informational, transactional",Organic
cute rolling tray,9,9,260,4,0.00,https://munchmakers.com/blog/rolling-in-style-the-ultimate-guide-to-cute-and-girly-weed-rolling-tray-sets/,3,0.09,0.00,0,11900000,"[30,20,20,20,20,24,20,20,16,16,16,16]",2025-08-28,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
where to buy a tobacco grinder,1,1,110,27,0.00,https://www.munchmakers.com/5-tips-for-choosing-the-perfect-weed-grinder/,3,0.09,0.00,0,5180000,"[23,12,9,19,12,23,15,15,6,12,12,23]",2025-08-21,"Local pack, Sitelinks, Image, People also ask, Popular products, Related searches, Discussions and forums",transactional,People also ask
plastic weed grinder,1,1,210,6,0.56,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,3,0.09,1.00,0.27,9320000,"[43,43,35,35,22,29,29,43,66,43,43,54]",2025-09-11,"Image pack, Image, People also ask, Popular products, Related searches, Discussions and forums","commercial, informational",People also ask
coarse herb,10,10,210,6,0.00,https://munchmakers.com/blog/your-ultimate-guide-to-coarse-weed-grinders-the-boomers-experience/,3,0.09,0.00,0,4270000,"[1,1,1,1,1,100,76,1,1,1,1,0]",2025-08-24,"Knowledge panel, Image pack, Related searches, AI overview",informational,Organic
electronic blunt roller,1,1,110,7,0.00,https://munchmakers.com/blog/master-the-art-of-rolling-the-ultimate-guide-to-joint-rollers-for-effortless-enjoyment/,3,0.09,0.00,0,2520000,"[42,34,34,42,100,80,53,26,26,42,42,42]",2025-08-30,"Image pack, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
best grinder kief catcher,5,5,70,1,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,3,0.09,0.00,0,9,"[64,52,41,41,41,41,29,41,29,29,41,29]",2025-11-14,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
good grinders for kief,5,5,140,22,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,3,0.09,0.00,0,625000,"[66,53,43,35,23,35,23,28,10,23,35,35]",2025-08-20,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
cute weed grinder,6,6,170,22,0.00,https://munchmakers.com/blog/grind-in-style-the-ultimate-guide-to-pretty-and-customizable-weed-grinders/,3,0.09,0.00,0,96,"[26,21,21,21,21,21,21,14,5,7,32,11]",2025-08-30,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
custom ash trays,5,5,90,0,0.60,https://munchmakers.com/product-category/custom-ashtrays/,3,0.09,1.00,1,1430000,"[7,7,10,10,7,12,7,7,7,10,7,10]",2025-09-09,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
lighters different types,3,3,260,19,0.63,https://munchmakers.com/blog/choosing-the-right-lighter-essential-guide-and-tips/,3,0.09,1.00,0.86,16700000,"[35,44,28,44,28,44,18,23,100,81,23,23]",2025-10-08,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,People also ask
extra large weed grinder,4,4,110,0,0.56,https://munchmakers.com/product/custom-big-grinder,3,0.09,1.00,0.02,3470000,"[50,78,50,78,64,64,100,50,100,100,78,78]",2025-08-22,"Image pack, Sitelinks, Image, Popular products, Related searches, Discussions and forums",transactional,Organic
glow in the dark ashtray,4,4,110,11,0.21,https://munchmakers.com/product/custom-glow-in-dark-ashtray,3,0.09,0.00,0.94,849000,"[42,65,42,53,42,42,53,42,42,26,53,34]",2025-11-17,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
can you smoke the warning paper,4,4,140,23,0.00,https://munchmakers.com/blog/everything-you-need-to-know-about-raw-rolling-papers-features-benefits-and-buying-tips/,3,0.09,0.00,0,69,"[43,43,43,34,43,43,43,43,43,43,43,43]",2025-09-04,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
best herb grinder for kief,5,5,140,7,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,3,0.09,0.00,0,54400,"[81,65,53,43,28,43,28,34,12,28,43,43]",2025-08-27,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
unique grinders,6,6,110,2,0.00,https://munchmakers.com/blog/grind-in-style-your-ultimate-guide-to-unique-herb-grinders/,3,0.09,0.00,0,11000000,"[80,66,52,52,42,66,42,52,66,42,80,52]",2025-09-02,"Image pack, Sitelinks, Image, Related searches",commercial,Organic
cool grinders,13,13,1000,17,0.00,https://munchmakers.com/,3,0.09,0.00,0,14200000,"[52,52,68,68,46,46,52,52,52,46,46,37]",2025-10-11,"Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
ceramic herb grinder,6,6,260,4,0.60,https://munchmakers.com/blog/unleash-flavor-why-ceramic-weed-grinders-are-a-must-have-for-herb-lovers/,3,0.09,1.00,0.77,1310000,"[44,35,35,54,100,44,35,28,28,35,28,18]",2025-09-10,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
cool weed grinders,17,17,1000,28,0.00,https://munchmakers.com/blog/top-cool-weed-grinders-enhance-your-herb-experience/,3,0.09,0.00,0,8320000,"[81,62,62,24,62,62,55,62,62,81,62,62]",2025-10-13,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
refillable grill lighter,1,1,110,26,0.73,https://munchmakers.com/blog/choosing-the-right-lighter-essential-guide-and-tips/,3,0.09,2.00,1,80,"[43,28,34,100,43,15,43,21,28,34,21,21]",2025-09-09,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",transactional,People also ask
customizable grinder,3,3,40,3,4.51,https://munchmakers.com/,3,0.09,13.00,0.02,1920000,"[0,1,1,4,3,5,3,26,0,1,1,2]",2025-08-29,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
cool weed grinder,7,7,170,6,0.00,https://munchmakers.com/blog/top-cool-weed-grinders-enhance-your-herb-experience/,3,0.09,0.00,0,13500000,"[11,9,7,7,14,100,9,1,17,3,1,1]",2025-08-30,"Image pack, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
weed grinder kief catcher,7,7,260,11,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,3,0.09,0.00,0,49000,"[15,29,15,36,12,12,81,12,19,10,67,29]",2025-10-07,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
titanium weed grinder,6,6,70,3,0.58,https://munchmakers.com/blog/titanium-vs-aluminum-grinders-which-is-worth-the-upgrade/,2,0.06,1.00,0.12,8,"[15,53,34,28,15,21,21,21,15,15,21,21]",2025-11-20,"Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
rolling paper business cards,5,5,50,3,0.00,https://munchmakers.com/blog/rolling-with-style-the-rise-of-business-card-papers/,2,0.06,0.00,0,45300000,"[0,0,0,0,0,0,16,1,1,0,0,0]",2025-09-01,"Image pack, Sitelinks, Video, Image, Related searches","commercial, informational",Organic
rolling machine cigarette,2,2,140,28,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,2,0.06,0.00,0,26500000,"[0,0,0,0,0,0,0,0,4,0,0,0]",2025-09-10,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
how to make cigarette paper,7,7,110,23,0.00,https://munchmakers.com/blog/crafting-your-own-rolling-papers-a-complete-guide-22fc0c/,2,0.06,0.00,0,98200000,"[43,34,65,34,21,34,28,34,15,34,43,34]",2025-09-01,"Image pack, Sitelinks, Video, People also ask, FAQ, Related searches",,Organic
rolling tray for weed,5,5,260,16,0.00,https://munchmakers.com/blog/rolling-in-style-the-ultimate-guide-to-choosing-the-perfect-rolling-tray/,2,0.06,0.00,0,3520000,"[4,6,8,24,20,16,20,16,20,13,20,16]",2025-11-20,"Image pack, Video, Image, People also ask, Popular products","informational, transactional",People also ask
engraving lighter,4,4,170,8,0.80,https://munchmakers.com/blog/the-ultimate-guide-to-engraving-your-lighter-tips-and-tricks/,2,0.06,1.00,0.92,10,"[100,0,0,1,0,0,0,0,0,0,1,0]",2025-11-18,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,People also ask
job rolling papers,1,1,480,32,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,2,0.06,0.00,0,63600000,"[0,0,0,0,100,0,0,0,0,0,1,3]",2025-08-18,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,People also ask
largest weed grinder,8,8,210,0,0.56,https://munchmakers.com/product/custom-big-grinder,2,0.06,1.00,0.47,10100000,"[5,12,7,44,19,12,100,7,2,2,54,5]",2025-08-31,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
top o matic t2,7,7,260,24,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,2,0.06,0.00,0,85,"[54,66,66,54,54,43,54,54,43,54,54,54]",2025-09-10,"Image pack, Video, Image, People also ask, Related searches",commercial,People also ask
large rolling tray with magnetic lid,6,6,90,11,0.00,https://www.munchmakers.com/ultimate-guide-to-custom-magnetic-rolling-trays-with-lids/,2,0.06,0.00,0,73,"[33,42,33,33,42,66,42,33,42,42,42,33]",2025-08-25,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
glitter grinder,2,2,70,4,0.00,https://munchmakers.com/blog/4-piece-grinder-vs-2-piece-grinder-what-grinder-should-you-get-it/,2,0.06,0.00,0.03,64,"[18,11,8,15,8,8,8,11,5,8,11,8]",2025-08-27,"Image pack, Video, Image, People also ask, Related searches",commercial,People also ask
gifts for a cigarette smoker,6,6,90,0,0.00,https://munchmakers.com/blog/gifts-for-smokers-ultimate-guide-with-50-perfect-presents-for-every-type-of-smoker/,2,0.06,0.00,0.93,512000,"[12,12,12,12,28,100,12,10,10,12,17,17]",2025-08-26,"Image pack, Video, Image, Related searches, Discussions and forums",commercial,Organic
raw blunt,1,1,320,22,0.00,https://munchmakers.com/blog/everything-you-need-to-know-about-raw-rolling-papers-features-benefits-and-buying-tips/,2,0.06,0.00,0,41700000,"[20,16,20,20,20,24,16,16,20,30,24,24]",2025-09-05,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
xl grinder,5,5,70,3,0.00,https://munchmakers.com/product/custom-big-grinder,2,0.06,0.00,0.01,11200000,"[29,29,29,52,52,41,41,41,41,41,41,41]",2025-08-26,"Sitelinks, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
led rolling trays,7,7,70,0,0.00,https://munchmakers.com/product/custom-led-rolling-tray,2,0.06,0.00,0,5790000,"[14,10,10,8,14,18,18,29,18,18,18,10]",2025-08-30,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
weed grinder accessories,5,5,70,8,0.00,https://munchmakers.com/,2,0.06,0.00,0,10,"[14,14,14,28,35,35,35,50,100,64,100,100]",2025-11-12,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
pre rolled papers,1,1,70,49,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,2,0.06,0.00,0,127000000,"[3,34,34,34,28,43,21,12,15,9,6,3]",2025-08-25,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
can you smoke warning raw paper,3,3,110,22,0.00,https://munchmakers.com/blog/everything-you-need-to-know-about-raw-rolling-papers-features-benefits-and-buying-tips/,2,0.06,0.00,0,43,"[7,100,100,7,7,100,100,100,100,100,100,100]",2025-09-03,"Sitelinks, People also ask, Related searches, AI overview",informational,Organic
most expensive herb grinder,5,5,70,29,0.00,https://munchmakers.com/blog/elevate-your-experience-the-ultimate-guide-to-luxury-weed-grinders/,2,0.06,0.00,0,230000,"[77,77,55,77,55,77,55,55,77,77,77,77]",2025-08-24,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches",commercial,Organic
tyson rolling papers,1,1,70,2,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,2,0.06,0.00,0,88,"[64,50,50,50,64,50,50,50,50,50,35,35]",2025-08-24,"Image pack, Video, People also ask, Related searches",informational,People also ask
ashtray for weed,12,12,480,15,0.35,https://munchmakers.com/blog/the-ultimate-buyers-guide-to-weed-ashtrays-finding-the-perfect-ashtray-for-your-needs/,2,0.06,0.00,0.97,1470000,"[31,37,31,20,31,37,25,16,16,16,4,20]",2025-09-11,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums","informational, transactional",Organic
coarse weed grinder,8,8,90,22,0.00,https://munchmakers.com/blog/your-ultimate-guide-to-coarse-weed-grinders-the-boomers-experience/,2,0.06,0.00,0,437000,"[78,50,50,78,78,78,64,64,50,78,64,50]",2025-11-16,"Sitelinks, Video, Image, Popular products, Discussions and forums",commercial,Organic
grinder crusher,2,2,140,16,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,2,0.06,0.00,0.04,100,"[6,28,28,34,15,34,34,43,100,65,65,53]",2025-08-30,"Knowledge panel, Sitelinks, Video, People also ask, Popular products, Related searches",transactional,People also ask
cool weed storage containers,7,7,90,17,0.00,https://www.munchmakers.com/product-category/custom-weed-stash-jars/,2,0.06,0.00,0,18600000,"[50,50,35,50,50,100,64,78,35,64,50,100]",2025-08-30,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
edcoinc grinder,7,7,210,11,1.88,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,2,0.06,3.00,1,72,"[23,23,66,100,15,19,15,19,9,15,29,15]",2025-08-25,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",informational,People also ask
vintage cigarette roller,5,5,320,23,0.00,https://pt.munchmakers.com/blog/roll-your-own-the-ultimate-guide-to-choosing-the-best-cigarette-rolling-machine-d7cea0/,2,0.06,0.00,0,71,"[26,17,17,17,48,21,32,32,32,39,39,39]",2025-09-07,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
joint holder for smoking,7,7,320,4,0.00,https://munchmakers.com/blog/discover-the-best-joint-holder-for-a-stylish-and-secure-smoke/,2,0.06,0.00,0,100,"[29,43,54,66,100,81,81,35,81,66,81,54]",2025-09-04,"Image pack, Image, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
keychain ashtray,4,4,90,3,0.00,https://munchmakers.com/product/portable-metal-ashtray-keychain,2,0.06,0.00,1,84,"[14,78,78,78,14,78,78,14,78,78,78,50]",2025-08-27,"Image pack, Video, Image, Shopping ads, People also ask, Related searches","informational, transactional",Organic
wakit grinder,2,2,590,35,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,2,0.06,0.00,0,97,"[45,55,45,30,76,67,30,55,76,36,30,30]",2025-08-30,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,People also ask
electric joint rolling machine,4,4,140,16,0.00,https://munchmakers.com/blog/roll-with-ease-the-ultimate-guide-to-choosing-your-perfect-joint-roller/,2,0.06,0.00,0,99,"[3,2,1,3,5,3,8,5,5,4,3,5]",2025-09-02,"Image pack, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
cali paper,1,1,70,1,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,2,0.06,0.00,0,103000000,"[12,15,15,21,6,6,100,6,28,21,21,21]",2025-09-08,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask
kozo grinder,3,3,140,23,0.30,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,2,0.06,0.00,0.78,72,"[6,8,13,8,10,10,8,6,10,10,8,10]",2025-08-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,People also ask
automatic blunt rolling machine,1,1,90,21,0.00,https://munchmakers.com/blog/master-the-art-of-rolling-the-ultimate-guide-to-joint-rollers-for-effortless-enjoyment/,2,0.06,0.00,0,4210000,"[19,14,23,23,23,23,4,80,80,66,100,80]",2025-08-29,"Image pack, Image, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",People also ask
